lambda	mean_cv_negloglik	se_cv_negloglik	mean_nonzero
0.4348603358410417	3.386278969458219	0.05113953719837964	1.2
0.37520394607678514	3.380629353476104	0.04270437587160296	3.6
0.32373152837524116	3.3732239064864635	0.034485462029335306	9.0
0.279320363125184	3.366692713977038	0.027515678598733124	13.2
0.2410017511978347	3.3549382896107525	0.026157218773323526	19.4
0.20793988462055765	3.33692718287938	0.02855763893628348	23.8
0.1794136158808099	3.305295499288326	0.032410268086981865	29.4
0.15480072821125562	3.278162300502342	0.03970582659778492	31.6
0.13356436375851527	3.257777919229059	0.05024882527380261	32.8
0.11524131360591287	3.2518045551989507	0.06350900213830528	34.8
0.09943191423146108	3.2597311657937205	0.07913171430430462	37.8
0.08579133002199099	3.288116976533343	0.10665070142034315	43.4
0.07402203169707619	3.322848672634572	0.1333452215288092	49.8
0.06386730658166095	3.374598049916577	0.15069287167677517	58.8
0.05510565917305119	3.4466749596160655	0.16099837041724796	69.0
0.047545979867083185	3.552397166558805	0.1866552833790628	78.8
0.04102337646342157	3.7235196036748612	0.23472793176308127	89.4
0.03539557752651809	3.952994370129727	0.2778473126365866	98.2
0.030539829152114072	4.24773689760029	0.330203979221305	110.2
0.026350217451362647	4.524804894122447	0.3520627381060337	122.4
0.022735358350425887	4.790660771961947	0.4021184350203306	136.6
0.019616404315310497	5.005118103986952	0.4373516714877712	147.8
0.016925324524498814	5.183538341072096	0.4418685090488233	166.8
0.014603420976392471	5.374883053024509	0.46051632596955827	178.6
0.012600048164810864	5.4863352010606	0.4481128968290719	188.4
0.010871508396026046	5.6519270786631015	0.4753307715921258	196.0
