lambda	mean_cv_negloglik	se_cv_negloglik	mean_nonzero
0.4444796252684269	3.398619844668481	0.04161750201671939	0.8
0.40154359948566976	3.3879966773279393	0.04227996656595677	2.2
0.36275512559329287	3.368334530104844	0.04101505726725262	4.2
0.3277135566667199	3.3497275150640022	0.04085040855535307	7.6
0.2960569476378947	3.331839357592616	0.04279290478254195	11.4
0.2674583167574165	3.3203487659320614	0.043491521223068146	15.0
0.24162226819349375	3.31374226894442	0.04367627063259061	19.2
0.21828194088247485	3.310160769350245	0.04167975604186774	24.4
0.1971962521155708	3.308052965298734	0.03896987911633085	27.6
0.17814740739072207	3.3074955844328393	0.03914805140900443	32.6
0.16093865080882	3.3057612028689873	0.04102051949632735	34.4
0.14539223277808	3.304092254938877	0.04278341567279387	36.6
0.13134757403494346	3.30531972225594	0.0455417628985255	38.4
0.11865960701764514	3.3122396547602677	0.04688786117206695	40.0
0.10719727746045866	3.333748082327472	0.043319066428493334	42.6
0.09684219073155848	3.3559320882429113	0.043691008574250546	42.4
0.08748738893249335	3.385617803272292	0.04460612722418473	43.8
0.07903624612790892	3.4256144341711683	0.04918551303228654	46.6
0.07140147029432409	3.4891443179008705	0.05814667518806092	50.0
0.06450420167906991	3.562891660584622	0.06951988279287934	55.8
0.058273198256323246	3.6358865646694	0.07999861290026578	62.8
0.05264409986679368	3.7277263292800216	0.09661517175769072	67.6
0.04755876344034747	3.8352269448815797	0.11521754038833355	72.8
0.042964662435070515	3.955522987004483	0.1354567065305905	80.0
0.03881434428956364	4.120136638903003	0.17326044695065668	87.4
0.0350649402844845	4.308858321339143	0.21940353548170255	92.2
0.031677722750685866	4.496607440253856	0.27354911803857124	100.0
0.028617705050344496	4.671285289162075	0.33400696647117567	108.2
0.02585328019927763	4.869623478734682	0.4056474719387398	117.8
0.02335589439776949	5.055914362205608	0.4658303415142812	125.4
0.021099752097801582	5.259754292901418	0.5337451686935979	133.2
0.019061549560319944	5.468540437616307	0.5924079023192405	141.4
0.017220234150447242	5.712098779371268	0.6586778677736104	148.4
0.01555678688439494	5.885208968819663	0.7022629151471002	157.6
